dataEfetiva,categoria,valorEfetivo,descricao
2025-07-17T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-17T00:00:00,1.1.1 Locação de Veiculos,398.3,ALUGUEL SEMANAL 
2025-07-17T00:00:00,1.1.1 Locação de Veiculos,439.05,ALUGUEL SEMANAL 
2025-07-18T00:00:00,1.1.1 Locação de Veiculos,322.72,ALUGUEL SEMANAL 
2025-07-18T00:00:00,1.1.1 Locação de Veiculos,323.6,ALUGUEL SEMANAL 
2025-07-20T00:00:00,1.1.1 Locação de Veiculos,276.68,ALUGUEL SEMANAL 
2025-07-20T00:00:00,1.1.1 Locação de Veiculos,399.99,ALUGUEL SEMANAL 
2025-07-20T00:00:00,1.1.1 Locação de Veiculos,399.99,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,101.8,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,276.76,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,323.02,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,384.69,ALUGUEL SEMANAL 
2025-07-21T00:00:00,1.1.1 Locação de Veiculos,400.11,ALUGUEL SEMANAL 
2025-07-22T00:00:00,1.1.1 Locação de Veiculos,99.8,ALUGUEL SEMANAL 
2025-07-22T00:00:00,1.1.1 Locação de Veiculos,353.96,ALUGUEL SEMANAL 
2025-07-22T00:00:00,1.1.1 Locação de Veiculos,423.37,ALUGUEL SEMANAL 
2025-07-23T00:00:00,1.1.1 Locação de Veiculos,272.0,ALUGUEL SEMANAL 
2025-07-23T00:00:00,1.1.1 Locação de Veiculos,438.92,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,251.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,321.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,323.31,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,349.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,400.47,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,419.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,419.3,ALUGUEL SEMANAL 
2025-07-24T00:00:00,1.1.1 Locação de Veiculos,422.06,ALUGUEL SEMANAL 
2025-07-25T00:00:00,1.1.1 Locação de Veiculos,322.72,ALUGUEL SEMANAL 
2025-07-25T00:00:00,1.1.1 Locação de Veiculos,399.75,ALUGUEL SEMANAL 
2025-07-25T00:00:00,1.1.1 Locação de Veiculos,438.26,ALUGUEL SEMANAL 
2025-07-26T00:00:00,1.1.1 Locação de Veiculos,384.46,ALUGUEL SEMANAL 
2025-07-26T00:00:00,1.1.1 Locação de Veiculos,399.87,ALUGUEL SEMANAL 
2025-07-27T00:00:00,1.1.1 Locação de Veiculos,276.68,ALUGUEL SEMANAL 
2025-07-28T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-28T00:00:00,1.1.1 Locação de Veiculos,363.3,ALUGUEL SEMANAL 
2025-07-28T00:00:00,1.1.1 Locação de Veiculos,349.3,ALUGUEL SEMANAL 
2025-07-28T00:00:00,1.1.1 Locação de Veiculos,251.3,ALUGUEL SEMANAL 
2025-07-29T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-29T00:00:00,1.1.1 Locação de Veiculos,384.3,ALUGUEL SEMANAL 
2025-07-29T00:00:00,1.1.1 Locação de Veiculos,523.86,ALUGUEL SEMANAL 
2025-07-30T00:00:00,1.1.1 Locação de Veiculos,293.3,ALUGUEL SEMANAL 
2025-07-28T00:00:00,"1.3.3 Devolução, Reembolso e Estorno",829.9,DEVOLUÇÃO PGTO CARTÃO 
2025-07-23T00:00:00,1.1.12 Emplacamento,800.0,EMPLACAMENTO 
2025-07-01T00:00:00,1.1.12 Emplacamento,820.0,EMPLACAMENTO 1 MOTO 
2025-07-01T00:00:00,1.1.12 Emplacamento,1640.0,EMPLACAMENTO 2 MOTOS 
2025-07-16T00:00:00,1.1.12 Emplacamento,3952.65,EMPLACAMENTO 5 MOTOS 
2025-07-14T00:00:00,1.1.12 Emplacamento,5600.0,EMPLACAMENTO FBF- 7 MOTOS 
2025-07-16T00:00:00,1.1.12 Emplacamento,3162.12,EMPLACAMENTO NC LOCMAIS- 4 MOTOS 
